preset,training_seed,evaluation_seed,checkpoint_transition,task,episode,metric_name,metric_value
g1_lafan,4728,4728,9600000,move-ego-0-0,9,action_l2,2.956812858581543
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_torques_mean,7605.8720703125
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_action_rate_mean,2.9305784702301025
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,9,limits_dof_pos_mean,0.09055306017398834
g1_lafan,4728,4728,9600000,move-ego-0-0,9,limits_dof_pos_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,9,limits_torque_mean,4.494607448577881
g1_lafan,4728,4728,9600000,move-ego-0-0,9,limits_torque_active_fraction,0.9980000257492065
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_undesired_contact_mean,0.014000000432133675
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_undesired_contact_active_fraction,0.014000000432133675
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_feet_ori_mean,0.4186205565929413
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_feet_ori_active_fraction,0.9600000381469727
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_ankle_roll_mean,0.13415959477424622
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_slippage_mean,0.14321552217006683
g1_lafan,4728,4728,9600000,move-ego-0-0,9,penalty_slippage_active_fraction,0.9600000381469727
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,return,2.934873580932617
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,auxiliary_cost,2.6644327640533447
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,safety_violation_rate,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,termination_rate,0.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,action_l2,3.5675625801086426
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_torques_mean,12036.3818359375
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_action_rate_mean,4.791674613952637
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,limits_dof_pos_mean,0.09000127017498016
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,limits_dof_pos_active_fraction,0.9980000257492065
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,limits_torque_mean,4.762484550476074
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,limits_torque_active_fraction,0.9940000176429749
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_undesired_contact_mean,0.164000004529953
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_undesired_contact_active_fraction,0.164000004529953
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_feet_ori_mean,0.3722214698791504
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_feet_ori_active_fraction,0.8920000195503235
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_ankle_roll_mean,0.13080376386642456
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_slippage_mean,0.22457455098628998
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,0,penalty_slippage_active_fraction,0.8940000534057617
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,return,1.3000557430586923e-07
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,auxiliary_cost,4.129410743713379
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,safety_violation_rate,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,termination_rate,0.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,action_l2,3.5908701419830322
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_torques_mean,6482.3974609375
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_action_rate_mean,1.0784224271774292
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,limits_dof_pos_mean,0.24782001972198486
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,limits_dof_pos_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,limits_torque_mean,4.889646530151367
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,limits_torque_active_fraction,0.984000027179718
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_undesired_contact_mean,0.968000054359436
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_undesired_contact_active_fraction,0.968000054359436
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_feet_ori_mean,0.03504440560936928
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_feet_ori_active_fraction,0.036000002175569534
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_ankle_roll_mean,0.1360613852739334
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_slippage_mean,0.008551765233278275
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,1,penalty_slippage_active_fraction,0.036000002175569534
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,return,1.6830600500106812
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,auxiliary_cost,3.1426920890808105
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,safety_violation_rate,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,termination_rate,0.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,action_l2,3.418072462081909
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_torques_mean,12641.6455078125
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_action_rate_mean,5.518985748291016
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,limits_dof_pos_mean,0.09733793884515762
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,limits_dof_pos_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,limits_torque_mean,5.337734699249268
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,limits_torque_active_fraction,0.968000054359436
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_undesired_contact_mean,0.36400002241134644
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_undesired_contact_active_fraction,0.36400002241134644
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_feet_ori_mean,0.24842533469200134
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_feet_ori_active_fraction,0.6100000143051147
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_ankle_roll_mean,0.13174836337566376
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_slippage_mean,0.3135257065296173
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,2,penalty_slippage_active_fraction,0.628000020980835
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,return,4.13641881942749
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,auxiliary_cost,2.335299491882324
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,safety_violation_rate,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,termination_rate,0.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,action_l2,3.272571086883545
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,penalty_torques_mean,14066.0263671875
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,penalty_action_rate_mean,4.527446269989014
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,limits_dof_pos_mean,0.05436570569872856
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,limits_dof_pos_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,limits_torque_mean,4.979892730712891
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,limits_torque_active_fraction,0.9440000653266907
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,penalty_undesired_contact_mean,0.05000000074505806
g1_lafan,4728,4728,9600000,move-ego-low0.5-0-0,3,penalty_undesired_contact_active_fraction,0.05000000074505806
